data,patrimonio_brl,patrimonio_var,aporte_brl,equity_usd,equity_var_usd,aporte_usd,equity_brl,xp_brl,rf_brl,coe_brl,usdbrl
2021-04-28,257684.36,,251937.53,48288.05,,47211.14,257684.36,0.0,0,0.0,5.3364
2021-05-28,264737.03,0.29,6300.27,50541.62,2.14,1202.8,264737.03,0.0,0,0.0,5.238
2021-06-28,250943.73,-5.26,137.6,50643.53,0.15,27.77,250943.73,0.0,0,0.0,4.9551
2021-07-28,313233.56,4.58,49622.6,53404.84,0.05,2735.76,277844.02,0.0,0,35389.54,5.2026
2021-08-28,321000.53,2.48,0,54560.79,2.16,0,282783.12,0.0,0,38217.41,5.1829
2021-09-28,335978.88,0.18,14380.38,55141.98,-3.67,2656.0,298555.23,0.0,0,37423.65,5.4143
2021-10-28,372289.8,6.58,13747.92,59340.12,3.12,2440.3,334304.43,0.0,0,37985.37,5.6337
2021-11-28,393153.17,-2.38,30156.58,62276.8,-3.92,5384.43,348793.7,0.0,0,44359.47,5.6007
2021-12-28,426847.32,2.38,24175.17,68740.49,3.35,4340.09,382898.27,0.0,0,43949.05,5.5702
2022-01-28,472108.87,-10.98,96955.75,82199.13,-6.00,18079.99,440801.06,0.0,0,31307.81,5.3626
2022-02-28,450949.47,-4.48,0,81582.28,-0.75,0,420915.64,0.0,0,30033.83,5.1594
2022-03-28,525378.06,-5.93,102345.69,102971.25,-0.08,21457.47,491141.96,0.0,0,34236.1,4.7697
2022-04-28,590072.14,-5.37,94695.35,113807.48,-7.49,19052.24,565657.33,0.0,0,24414.81,4.9703
2022-05-28,705056.67,-4.47,143808.86,143955.0,-0.09,30260.26,684131.72,0.0,0,20924.95,4.7524
2022-06-28,701110.89,-0.56,0,131098.95,-8.93,0,679210.57,0.0,0,21900.32,5.1809
2022-07-28,754148.84,4.84,18923.32,141612.23,5.20,3659.65,732248.52,0.0,0,21900.32,5.1708
2022-08-28,749715.12,-3.16,19893.0,141593.92,-2.70,3883.91,725229.89,0.0,0,24485.23,5.1219
2022-09-28,716509.07,-4.43,0,128242.81,-9.43,0,692023.84,0.0,0,24485.23,5.3962
2022-10-28,737863.11,2.98,0,134892.29,5.19,0,713377.88,0.0,0,24485.23,5.2885
2022-11-28,786898.85,6.65,0,146161.94,8.35,0,770010.32,0.0,0,16888.53,5.2682
2022-12-28,775157.15,-1.49,0,143532.65,-1.80,0,758268.62,0.0,0,16888.53,5.2829
2023-01-28,830959.15,3.83,25980.57,159452.28,7.51,5079.39,815582.45,0.0,0,15376.7,5.1149
2023-02-28,824959.31,-0.72,0,155454.81,-2.51,0,808318.38,0.0,0,16640.93,5.1997
2023-03-28,808750.05,-1.96,0,155538.15,0.05,0,792109.12,0.0,0,16640.93,5.0927
2023-04-28,923963.35,-1.16,125720.01,181456.5,0.40,25218.65,904596.96,0.0,0,19366.39,4.9852
2023-05-28,976284.07,-2.59,77382.16,190060.71,-3.56,15369.46,956917.68,0.0,0,19366.39,5.0348
2023-06-28,1053382.79,3.67,40441.32,210453.15,6.19,8328.8,1021876.34,0.0,0,31506.45,4.8556
2023-07-28,1108614.95,2.82,25208.58,226753.16,5.14,5337.07,1071023.2,0.0,0,37591.75,4.7233
2023-08-28,1121029.55,0.11,11201.04,221634.44,-3.25,2291.35,1083437.8,0.0,0,37591.75,4.8884
2023-09-28,1138643.46,-0.69,25480.57,219594.35,-3.15,5064.31,1104867.0,0.0,0,33776.46,5.0314
2023-10-28,1112571.69,-3.53,14560.82,213787.92,-3.92,2885.56,1078795.23,0.0,0,33776.46,5.0461
2023-11-28,1200948.99,5.17,29890.0,237999.33,8.32,6094.9,1167172.53,0.0,0,33776.46,4.9041
2023-12-28,1279727.52,5.28,14700.14,257824.92,6.98,3037.91,1247589.02,0.0,0,32138.5,4.8389
2024-01-28,1320042.9,1.32,23215.82,260166.94,-0.90,4689.78,1287904.4,0.0,0,32138.5,4.9503
2024-02-28,1441333.83,3.82,69493.87,281358.87,2.70,13990.27,1397593.93,0.0,0,43739.9,4.9673
2024-03-28,1542936.18,5.09,27105.77,298128.31,3.98,5406.88,1494576.83,0.0,0,48359.35,5.0132
2024-04-28,1619620.72,-0.26,80848.75,306880.32,-2.32,15800.03,1570306.61,0.0,0,49314.11,5.117
2024-05-28,1731367.03,4.69,34345.72,323341.14,3.15,6602.28,1682052.92,0.0,0,49314.11,5.2021
2024-06-28,1909143.29,8.96,21134.17,331964.35,1.48,3779.29,1856377.85,0.0,0,52765.44,5.5921
2024-07-28,2036883.5,3.56,58262.58,352654.96,3.04,10383.45,1978782.26,0.0,0,58101.24,5.6111
2024-08-28,2090231.77,0.64,40183.85,363261.28,0.96,7164.43,2037459.88,0.0,0,52771.89,5.6088
2024-09-28,2103335.93,-0.39,21243.92,377413.69,2.80,3910.02,2050564.04,0.0,0,52771.89,5.4332
2024-10-28,2185385.2,3.13,15819.01,370097.58,-2.65,2745.26,2132613.31,0.0,0,52771.89,5.7623
2024-11-28,2343368.99,7.23,0,381967.87,3.21,0,2281570.47,0.0,0,61798.52,5.9732
2024-12-28,2350311.51,0.30,0,370435.42,-3.02,0,2288512.99,0.0,0,61798.52,6.1779
2025-01-28,2341528.69,-1.81,34012.77,388072.21,3.18,5789.9,2279730.17,0.0,0,61798.52,5.8745
2025-02-28,2304896.39,-2.32,18100.9,384157.88,-1.80,3100.0,2243097.87,0.0,0,61798.52,5.839
2025-03-28,2361319.76,-3.72,144528.31,402038.0,-1.83,25100.0,2314974.99,0.0,0,46344.77,5.7581
2025-04-28,2984369.3,24.81,30348.0,522780.17,28.35,5400.0,2938024.53,0.0,0,46344.77,5.62
2025-05-28,3213581.43,6.44,35123.62,559078.68,5.70,6200.0,3167236.66,0.0,0,46344.77,5.6651
2025-06-28,3253913.49,1.26,0,585493.71,4.72,0,3207568.72,0.0,0,46344.77,5.4784
2025-07-28,3420339.2,3.56,50178.6,603576.35,1.54,9000.0,3365179.57,0.0,0,55159.63,5.5754
2025-08-28,3453152.36,0.96,0,626081.13,3.73,0,3397992.73,0.0,0,55159.63,5.4274
2025-09-28,2944286.04,-15.01,10018.74,543558.3,-13.46,1882.62,2892654.21,0.0,0,51631.83,5.3217
2025-10-28,3022126.32,2.64,0,552321.09,1.61,0,2972592.09,0.0,0,49534.23,5.382
2025-11-28,3036987.09,0.49,0,557839.35,1.00,0,2987452.86,0.0,0,49534.23,5.3554
2025-12-28,3187744.59,4.96,0,570407.21,2.25,0,3123663.97,0.0,0,64080.62,5.4762
2026-01-28,3220449.02,-0.34,43589.28,608257.23,5.14,8400.0,3156368.4,0.0,0,64080.62,5.1892
2026-02-28,3305860.41,2.65,0,631113.93,3.76,0,3241779.79,0.0,0,64080.62,5.1366
2026-03-28,3434863.97,-4.95,306667.17,592759.14,-7.67,10600.0,3120284.1,0.0,250499.25,64080.62,5.264
2026-04-28,3661765.61,4.27,78194.27,651235.09,9.87,0,3267572.09,0.0,330112.9,64080.62,5.0175
2026-05-28,3585095.1,-2.09,0,654991.89,0.58,0,3254982.2,0.0,330112.9,0.0,4.9695
